Year;Sample
2013;2013
2012;2013
2011;2013
2010;2013
2009;2013
2008;2013
2007;2013
2006;2013
2005;2013
2004;2013
2003;2013
2002;2012
2001;2012
2000;2012
1999;2012
1998;2012
1997;2012
1996;2012
1995;2012
1994;2012
1993;2012
1992;2012
1991;2012
1990;2012
1989;2012
1988;2012
1987;2012
1986;2012
1985;2012
1984;2012
1983;2012
1982;2012
1981;2012
1980;2012
1979;2012
1978;2012
1977;2012
1976;2012
1975;2012
1974;2012
1973;2012
1972;2012
1971;2012
1970;2012
1969;2012
1968;2012
1967;2012
1966;2012
1965;2012
1964;2012
1963;2012
1962;2012
1961;2012
1960;2012
1959;2012
1958;2012
1957;2012
1956;2012
1955;2012
1954;2012
1953;2012
1952;2012
1951;2012
1950;2012
1949;2012
1948;2012
1947;2012
1946;2012
1945;2012
1944;2012
1943;2012
1942;2012
1941;2012
1940;2012
1939;2012
1938;2012
1937;2012
1936;2012
1935;2012
1934;2012
1933;2012
1932;2012
1931;2012
1930;2012
1929;2012
1928;2012
1927;2012
1926;2012
1925;2012
1924;2012
1923;2012
1922;2012
1921;2012
1920;2012
1919;2012
1918;2012
1917;2012
1916;2012
1915;2012
1914;2012
1913;2012
1912;2012
1911;2012
1910;2012
1909;2012
1908;2012
1907;2012
1906;2012
1905;2012
1904;2012
1903;2012
1902;2012
1901;2012
1900;2012
1899;2012
1898;2012
1897;2012
1896;2012
1895;2012
1894;2012
1893;2012
1892;2012
1891;2012
1890;2012
1889;2012
1888;2012
1887;2012
1886;2012
1885;2012
1884;2012
1883;2012
1882;2012
1881;2012
1880;2012
1879;2012
1878;2012
1877;2012
1876;2012
1875;2012
1874;2012
1873;2012
1872;2012
1871;2012
1870;2012
1869;2012
1868;2012
1867;2012
1866;2012
1865;2012
1864;2012
1863;2012
1862;2012
1861;2012
1860;2012
1859;2012
1858;2012
1857;2012
1856;2012
1855;2012
1854;2012
1853;2012
1852;2012
1851;2012
1850;2012
1849;2012
1848;2012
1847;2012
1846;2012
1845;2012
1844;2012
1843;2012
1842;2012
1841;2012
1840;2012
1839;2012
1838;2012
1837;2012
1836;2012
1835;2012
1834;2012
1833;2012
1832;2012
1831;2012
1830;2012
1829;2012
1828;2012
1827;2012
1826;2012
1825;2012
1824;2012
1823;2012
1822;2012
1821;2012
1820;2012
1819;2012
1818;2012
1817;2012
1815;2012
1814;2012
1813;2012
1812;2012
1811;2012
1810;2012
1809;2012
1808;2012
1807;2012
1806;2012
1805;2012
1804;2012
1803;2012
1801;2012
1798;2012
1797;2012
1796;2012
1795;2012
1794;2012
1793;2012
1792;2012
1791;2012
1790;2012
1787;2012
1785;2012
1784;2012
1781;2012
1779;2012
1776;2012
1775;2012
1773;2012
1769;2012
1768;2012
1766;2012
1753;2012
1751;2012
1750;2012
1749;2012
1741;2012
1740;2012
1724;2012
1723;2012
1716;2012
1715;2012
1704;2012
1688;2012
1671;2012
1668;2012
1662;2011
1654;2011
1647;2011
1637;2011
1636;2011
1632;2011
1628;2011
1623;2011
1621;2011
1600;2011
1583;2011
1575;2011
1519;2011
1495;2011
1491;2011
1490;2011
1399;2011
920;2011
860;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
;2011
